Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.000000,-53.675000,90.000000,top
C2,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,25.800000,-64.800000,180.000000,top
C3,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,19.250000,-62.000000,270.000000,top
C4,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,28.400000,-50.600000,0.000000,top
C5,4.7uF/25V,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,35.700000,-74.900000,0.000000,top
C6,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.600000,-81.000000,90.000000,top
C7,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.200000,-45.800000,90.000000,top
C8,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,29.400000,-45.800000,90.000000,top
C9,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,44.000000,-63.500000,0.000000,top
C10,33pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.200000,-85.200000,0.000000,top
C11,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,41.000000,-75.600000,0.000000,top
D1,B5819W,D_SOD-123,36.000000,-69.400000,180.000000,top
D2,B5819W,D_SOD-123,34.800000,-78.400000,0.000000,top
F1,500mA/24V (CFS06V3T1R0),Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,35.800000,-72.600000,0.000000,top
FB1,GZ2012D601TF,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,41.250000,-73.250000,0.000000,top
L1,2.2 - 4.7uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,40.800000,-82.000000,0.000000,top
Q1,Q_PNP_BCE,SOT-23_Handsoldering,34.000000,-60.450000,180.000000,top
R1,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,19.250000,-54.075000,90.000000,top
R2,100,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,47.900000,-35.325000,90.000000,top
R3,20K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,33.000000,-56.500000,0.000000,top
R4,8.2K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,34.200000,-53.675000,90.000000,top
R5,4.7k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,47.500000,-81.500000,0.000000,top
R6,4.7k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,34.200000,-45.800000,270.000000,top
R7,4.7k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.800000,-45.800000,270.000000,top
R8,4.7k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,39.400000,-45.800000,270.000000,top
R9,4.7k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,36.800000,-45.800000,270.000000,top
R10,4.7k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,38.200000,-77.800000,90.000000,top
R11,24k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,29.200000,-83.925000,90.000000,top
R12,4.7k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,46.000000,-52.500000,270.000000,top
R13,75k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.200000,-82.300000,180.000000,top
R14,4.7k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,44.000000,-52.500000,90.000000,top
R15,75k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,40.500000,-69.500000,270.000000,top
R16,75k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,42.750000,-69.500000,270.000000,top
R17,4.7k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,45.000000,-69.500000,90.000000,top
SW1,SW_Push,SW_SPST_EVQP7C,46.450000,-85.470000,0.000000,top
U1,HX711,SOP-16_4.55x10.3mm_P1.27mm,25.652000,-58.035000,270.000000,top
U2,ESP-12E,ESP-12E,34.500000,-29.500000,0.000000,top
U3,MP2451,SOT-23-6_Handsoldering,35.600000,-82.200000,270.000000,top
U4,LM75B,SOIC-8_3.9x4.9mm_P1.27mm,44.000000,-58.500000,180.000000,top
